[ 2025-05-29 19:41:52,949 ] 28 root - INFO -  Gemini API init
[ 2025-05-29 19:41:53,064 ] 31 root - INFO -  supabase init
[ 2025-05-29 19:41:53,065 ] 119 root - INFO -  Roadmap list imported as DF from 
		 /home/dk/code_base/ml_projects/llm_fine_tune/data/career_transfer_goals.txt
[ 2025-05-29 19:41:53,938 ] 1025 httpx - INFO - HTTP Request: GET https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?select=id&order=id.desc&limit=1 "HTTP/2 206 Partial Content"
[ 2025-05-29 19:41:53,948 ] 132 root - INFO - DB id fetch --> 1523
[ 2025-05-29 19:41:53,948 ] 46 root - INFO - generator init --> index=5, start_row=0, last_db_id =1523
[ 2025-05-29 19:41:53,950 ] 189 root - INFO -  made prompt for Goal: Software Engineer Transition to Machine Learning Engineer
[ 2025-05-29 19:42:34,725 ] 57 root - INFO -  got Gemini response starting from  Goal: Software Engineer Transition to Machine Learning Engineer & 5 more...
[ 2025-05-29 19:42:35,399 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:42:40,408 ] 189 root - INFO -  made prompt for Goal: Network Administrator to Cybersecurity Specialist
[ 2025-05-29 19:43:19,552 ] 57 root - INFO -  got Gemini response starting from  Goal: Network Administrator to Cybersecurity Specialist & 5 more...
[ 2025-05-29 19:43:19,996 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:43:25,002 ] 189 root - INFO -  made prompt for Goal: Junior Developer to Technical Lead
[ 2025-05-29 19:43:59,643 ] 57 root - INFO -  got Gemini response starting from  Goal: Junior Developer to Technical Lead & 5 more...
[ 2025-05-29 19:43:59,976 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:44:04,981 ] 189 root - INFO -  made prompt for Goal: Content Writer to Technical Documentation Manager
[ 2025-05-29 19:44:39,372 ] 57 root - INFO -  got Gemini response starting from  Goal: Content Writer to Technical Documentation Manager & 5 more...
[ 2025-05-29 19:44:40,266 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:44:45,271 ] 189 root - INFO -  made prompt for Goal: Mobile Developer to Principal Software Engineer
[ 2025-05-29 19:45:08,522 ] 57 root - INFO -  got Gemini response starting from  Goal: Mobile Developer to Principal Software Engineer & 5 more...
[ 2025-05-29 19:45:09,016 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:45:14,021 ] 189 root - INFO -  made prompt for Goal: Research Assistant to Clinical Data Manager
[ 2025-05-29 19:45:47,732 ] 57 root - INFO -  got Gemini response starting from  Goal: Research Assistant to Clinical Data Manager & 5 more...
[ 2025-05-29 19:45:47,982 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:45:52,985 ] 189 root - INFO -  made prompt for Goal: Technical Writer to Developer Relations Manager
[ 2025-05-29 19:46:31,551 ] 57 root - INFO -  got Gemini response starting from  Goal: Technical Writer to Developer Relations Manager & 5 more...
[ 2025-05-29 19:46:32,397 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:46:37,403 ] 189 root - INFO -  made prompt for Goal: Social Media Manager to Growth Marketing Lead
[ 2025-05-29 19:47:14,136 ] 57 root - INFO -  got Gemini response starting from  Goal: Social Media Manager to Growth Marketing Lead & 5 more...
[ 2025-05-29 19:47:14,562 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:47:19,567 ] 189 root - INFO -  made prompt for Goal: Network Technician to Cloud Security Architect
[ 2025-05-29 19:47:57,830 ] 57 root - INFO -  got Gemini response starting from  Goal: Network Technician to Cloud Security Architect & 5 more...
[ 2025-05-29 19:47:58,031 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:48:03,035 ] 189 root - INFO -  made prompt for Goal: Application Developer to Solutions Architect
[ 2025-05-29 19:48:42,825 ] 57 root - INFO -  got Gemini response starting from  Goal: Application Developer to Solutions Architect & 5 more...
[ 2025-05-29 19:48:43,708 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:48:48,709 ] 189 root - INFO -  made prompt for Goal: Content Creator to Head of Content Strategy
[ 2025-05-29 19:49:28,453 ] 57 root - INFO -  got Gemini response starting from  Goal: Content Creator to Head of Content Strategy & 5 more...
[ 2025-05-29 19:49:29,030 ] 1025 httpx - INFO - HTTP Request: POST https://teapfuhassagydqswfyg.supabase.co/rest/v1/roadmap?columns=%22id%22%2C%22prompt%22%2C%22response%22 "HTTP/2 201 Created"
[ 2025-05-29 19:49:34,037 ] 189 root - INFO -  made prompt for Goal: Procurement Specialist to Supply Chain Technology Manager
[ 2025-05-29 19:50:13,884 ] 57 root - INFO -  got Gemini response starting from  Goal: Procurement Specialist to Supply Chain Technology Manager & 5 more...
