Goal,habit,task,extra 
Goal: Learn HTML and CSS Basics,habit_count: 3,task_count: 8,"Extra: 6-week web development foundation; computer science freshman with zero coding experience, targeting first website creation through daily HTML practice, CSS styling exercises, responsive design basics, flexbox learning, grid layouts, color theory study, typography fundamentals, and portfolio page completion."
,,,
Goal: Master JavaScript Fundamentals,habit_count: 3,task_count: 9,"Extra: 8-week programming introduction; information systems student switching from business major, targeting interactive web development through variable practice, function creation, DOM manipulation, event handling, array methods, object basics, debugging techniques, browser console usage, and simple calculator project."
,,,
Goal: Understand Git Version Control,habit_count: 2,task_count: 6,"Extra: 3-week development workflow; software engineering sophomore collaborating on group projects, targeting version control mastery through repository creation, commit practice, branch management, merge conflict resolution, GitHub account setup, and team collaboration simulation."
,,,
Goal: Learn Python Programming Basics,habit_count: 3,task_count: 7,"Extra: 10-week coding foundation; data science freshman with no programming background, targeting Python proficiency through daily syntax practice, variable manipulation, loop structures, function writing, list operations, dictionary usage, and simple data analysis project."
,,,
Goal: Master SQL Database Queries,habit_count: 2,task_count: 8,"Extra: 5-week database foundation; business analytics student learning data management, targeting query writing through SELECT statement practice, JOIN operations, WHERE clause filtering, GROUP BY aggregation, table creation, data insertion, relationship understanding, and business report generation."
,,,
Goal: Understand Object-Oriented Programming,habit_count: 3,task_count: 6,"Extra: 7-week Java concepts; computer science sophomore struggling with OOP principles, targeting class design through object creation, inheritance practice, encapsulation understanding, polymorphism examples, method overriding, and simple game development."
,,,
Goal: Learn React.js Components,habit_count: 2,task_count: 9,"Extra: 6-week frontend framework; web development student building modern interfaces, targeting component mastery through JSX syntax, props passing, state management, event handling, conditional rendering, list rendering, form creation, styling integration, and todo app project."
,,,
Goal: Master Command Line Interface,habit_count: 3,task_count: 5,"Extra: 4-week terminal skills; computer science freshman intimidated by command line, targeting CLI proficiency through daily navigation practice, file manipulation, directory operations, permission changes, and script execution."
,,,
Goal: Understand API Integration Basics,habit_count: 2,task_count: 7,"Extra: 5-week web services; full-stack development student learning backend communication, targeting API usage through HTTP methods, JSON parsing, authentication basics, error handling, response processing, documentation reading, and weather app creation."
,,,
Goal: Learn C++ Programming Fundamentals,habit_count: 3,task_count: 8,"Extra: 9-week systems programming; computer engineering student preparing for advanced courses, targeting C++ mastery through syntax learning, pointer understanding, memory management, class implementation, inheritance practice, file operations, debugging skills, and console application development."
,,,
Goal: Master Excel for Data Analysis,habit_count: 2,task_count: 6,"Extra: 4-week spreadsheet skills; business student preparing for internships, targeting Excel proficiency through formula creation, pivot table construction, chart generation, data cleaning, VLOOKUP usage, and financial model building."
,,,
Goal: Understand Network Security Basics,habit_count: 2,task_count: 7,"Extra: 6-week cybersecurity introduction; information technology student interested in security, targeting security awareness through password management, encryption understanding, firewall basics, malware recognition, secure browsing habits, vulnerability assessment, and security audit simulation."
,,,
Goal: Learn Mobile App Development Basics,habit_count: 3,task_count: 9,"Extra: 8-week app creation; computer science student wanting mobile skills, targeting Android development through Java basics, XML layouts, activity lifecycle, user interface design, event handling, data storage, API integration, testing procedures, and simple utility app publication."
,,,
Goal: Master Data Structures and Algorithms,habit_count: 3,task_count: 8,"Extra: 10-week computer science foundation; software engineering student preparing for technical interviews, targeting algorithmic thinking through array manipulation, linked list implementation, stack and queue operations, sorting algorithms, searching techniques, time complexity analysis, space optimization, and coding challenge practice."
,,,
